"State_Abbrev","year","State_Name","pop_millions","percapita_health_spending_thousands","medicaid_enroll_percapita","prev2years_drugusecalc","prev2years_aud","prev2years_marijuana","Gender_Male","Ethnicity_HispanicorLatino","Race_White","Insurance_Uninsured","Unemployment","Income","Forprofit","Government","Nonprofit","count_tx_total"
"AK","2015","Alaska",0.738,11.46,0.172086720867209,1.2113,7.2493,12.1601,52.6181418886313,5.61395905300747,70.9035252727402,14.5,6.3,94360,13,21,54,88
"AK","2016","Alaska",0.743,11.761,0.224764468371467,1.75395,7.9877,14.7986,52.6181418886313,5.61395905300747,70.9035252727402,14.5,6.6,94290,12,26,56,94
"AK","2017","Alaska",0.741,12.303,0.264507422402159,1.54055,7.2969,16.6644,52.6181418886313,5.61395905300747,70.9035252727402,13.9,6.6,95440,12,24,53,89
"AK","2018","Alaska",0.737,12.695,0.283582089552239,1.4914,7.0591,16.5942,52.6181418886313,5.61395905300747,70.9035252727402,12,6.1,82450,10,28,53,91
"AK","2019","Alaska",0.734,13.226,0.295640326975477,1.47805,7.4148,17.5117,52.458506655386,6.40572997734837,68.7635245434873,11.5,5.6,92670,16,28,52,96
"AK","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,31,59,105
"AK","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,25,75,115
"AK","2022","Alaska",NA,NA,NA,1.41065,7.652,18.2042,52.6112246330681,7.70124171361659,64.0828645156717,10.7,4.3,93310,9,16,72,97
"AK","2023","Alaska",NA,NA,NA,1.03051881511161,12.548979360962,23.3858418464708,NA,NA,NA,NA,4.2,98190,11,13,60,84
"AL","2015","Alabama",4.855,7.657,0.2129763130793,0.76845,6.0645,5.6292,47.7593935905436,3.20733482850412,71.3531564388278,10.2,6.1,55920,37,14,88,139
"AL","2016","Alabama",4.867,7.968,0.215327717279638,0.7985,4.8974,5.3685,47.7593935905436,3.20733482850412,71.3531564388278,9.2,5.8,58800,42,13,81,136
"AL","2017","Alabama",4.878,8.154,0.212177121771218,0.82205,4.4158,5.2544,47.7593935905436,3.20733482850412,71.3531564388278,9.5,4.5,62250,40,12,77,129
"AL","2018","Alabama",4.892,8.343,0.210547833197056,1.041,4.81,6.4844,47.7593935905436,3.20733482850412,71.3531564388278,10.2,3.9,59900,38,14,80,132
"AL","2019","Alabama",4.908,8.741,0.213121434392828,1.0911,4.9973,8.5262,47.5800670186042,3.49907494636365,70.4291274856398,9.7,3.2,66430,52,15,86,153
"AL","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,14,91,155
"AL","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,20,83,156
"AL","2022","Alabama",NA,NA,NA,1.1131,5.7144,8.9607,48.6246762112419,4.93177772837848,68.8605670619136,8.6,2.5,62290,55,11,93,159
"AL","2023","Alabama",NA,NA,NA,0.965336467225307,9.56354241497209,9.10051394045004,NA,NA,NA,NA,2.5,60660,50,10,74,134
"AR","2015","Arkansas",2.98,7.62,0.326845637583893,0.59335,5.5113,6.754,48.4708076195096,5.47138641652685,81.4909775628426,9.4,5,53770,11,5,60,76
"AR","2016","Arkansas",2.992,8.079,0.311497326203209,0.6532,5.1063,7.2504,48.4708076195096,5.47138641652685,81.4909775628426,8,4,57170,20,6,87,113
"AR","2017","Arkansas",3.004,8.409,0.318242343541944,0.7641,5.2777,7.1321,48.4708076195096,5.47138641652685,81.4909775628426,8,3.7,60880,19,6,93,118
"AR","2018","Arkansas",3.012,8.545,0.302124833997344,0.9249,5.7279,8.4446,48.4708076195096,5.47138641652685,81.4909775628426,8.3,3.6,59720,23,6,115,144
"AR","2019","Arkansas",3.021,8.853,0.277060575968222,0.87595,5.6511,8.9102,48.4443032364976,6.38173221340295,80.5335936004635,9.1,3.5,64470,37,7,123,167
"AR","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,7,118,171
"AR","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,11,116,186
"AR","2022","Arkansas",NA,NA,NA,0.71375,5.2442,8.7341,49.4306117242468,8.55440093484549,78.5339815611644,8.5,3.2,56120,59,5,99,163
"AR","2023","Arkansas",NA,NA,NA,0.895402483927574,9.66449590384413,11.7331114680601,NA,NA,NA,NA,3.1,63250,48,1,77,126
"AZ","2015","Arizona",6.833,6.885,0.232694277769647,1.35935,8.0634,8.8497,49.2866897532053,26.1107356391961,85.4668245642366,11.1,6.1,65640,130,35,176,341
"AZ","2016","Arizona",6.945,7.189,0.24996400287977,1.51485,7.0632,8.5918,49.2866897532053,26.1107356391961,85.4668245642366,10,5.5,71100,145,35,178,358
"AZ","2017","Arizona",7.048,7.539,0.251844494892168,1.34935,5.6647,7.4881,49.2866897532053,26.1107356391961,85.4668245642366,10,5,73060,134,32,175,341
"AZ","2018","Arizona",7.164,7.816,0.237297599106644,1.323,5.8779,8.5933,49.2866897532053,26.1107356391961,85.4668245642366,10.6,4.8,74710,160,30,217,407
"AZ","2019","Arizona",7.292,8.145,0.233817882611081,1.19525,5.7039,11.4082,49.3022090165936,27.9524703563608,84.0990698244072,11.1,4.8,83540,191,30,225,446
"AZ","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,34,205,447
"AZ","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,30,265,514
"AZ","2022","Arizona",NA,NA,NA,1.1745,5.1012,11.514,49.992329326148,32.4562584749396,81.8647876935486,10.3,3.8,76370,241,26,256,523
"AZ","2023","Arizona",NA,NA,NA,1.06400240751792,11.0133913763464,19.9457819054754,NA,NA,NA,NA,3.7,82660,235,14,180,429
"CA","2015","California",38.904,7.998,0.29541949413942,1.2366,7.0675,9.2534,49.2134434311235,34.0441374377156,73.7583692693685,8.5,6.2,79940,402,175,822,1399
"CA","2016","California",39.149,8.325,0.277989220669749,1.2474,6.9505,9.8151,49.2134434311235,34.0441374377156,73.7583692693685,7.4,5.5,82980,471,174,785,1430
"CA","2017","California",39.338,8.594,0.277594183740912,1.42535,6.8181,10.8367,49.2134434311235,34.0441374377156,73.7583692693685,7.2,4.8,85710,443,169,699,1311
"CA","2018","California",39.437,9.069,0.284808682201993,1.5553,5.8678,11.782,49.2134434311235,34.0441374377156,73.7583692693685,7.2,4.3,84560,562,196,744,1502
"CA","2019","California",39.438,9.628,0.276687458796085,1.6181,6.302,12.4628,49.3179521245001,35.708323458186,71.940509166853,7.8,4.1,92330,780,209,808,1797
"CA","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,761,196,777,1734
"CA","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,684,228,739,1651
"CA","2022","California",NA,NA,NA,1.60745,6.7281,13.9293,50.0521274481133,40.3085965425705,70.7347948627984,6.5,4.3,88690,705,229,731,1665
"CA","2023","California",NA,NA,NA,1.4204114144008,12.0543338409394,16.051990378368,NA,NA,NA,NA,4.7,89870,671,153,657,1481
"CO","2015","Colorado",5.454,7.075,0.189402273560689,1.52155,7.9271,15.1701,49.8356349241603,17.9757597805719,89.1095450361797,8.1,3.7,83660,220,24,159,403
"CO","2016","Colorado",5.544,7.323,0.204365079365079,1.6722,7.911,17.1216,49.8356349241603,17.9757597805719,89.1095450361797,7.7,3.1,87870,200,23,176,399
"CO","2017","Colorado",5.617,7.615,0.205803809862916,1.4719,6.7942,16.6168,49.8356349241603,17.9757597805719,89.1095450361797,7.5,2.6,91760,192,23,166,381
"CO","2018","Colorado",5.697,7.998,0.192381955415131,1.5858,6.7287,17.1771,49.8356349241603,17.9757597805719,89.1095450361797,7.7,3,87610,219,24,161,404
"CO","2019","Colorado",5.758,8.286,0.182181312955887,2.2512,8.9442,18.1246,50.174451937475,19.0508135277942,88.0508364074652,7.8,2.7,85700,225,24,159,408
"CO","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,21,152,393
"CO","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,19,162,365
"CO","2022","Colorado",NA,NA,NA,2.42175,8.771,18.1509,50.7633829606745,22.5168092883369,86.1799276223706,7,3.1,93510,177,15,148,340
"CO","2023","Colorado",NA,NA,NA,1.66142211745472,14.9928717273671,20.5449289920398,NA,NA,NA,NA,3.3,96640,163,7,141,311
"CT","2015","Connecticut",3.589,10.294,0.254667038172193,1.46715,7.1792,8.5585,48.0842173666058,12.6442293677974,83.2165326367713,6.1,5.6,91570,17,13,185,215
"CT","2016","Connecticut",3.58,10.705,0.276256983240223,1.77715,7.3222,9.7221,48.0842173666058,12.6442293677974,83.2165326367713,4.9,4.9,94540,18,13,193,224
"CT","2017","Connecticut",3.575,10.989,0.28979020979021,1.7177,7.1776,9.4982,48.0842173666058,12.6442293677974,83.2165326367713,5.6,4.4,90930,16,13,181,210
"CT","2018","Connecticut",3.575,11.378,0.297342657342657,1.86055,6.444,10.8581,48.0842173666058,12.6442293677974,83.2165326367713,5.3,3.9,87340,20,12,188,220
"CT","2019","Connecticut",3.566,11.831,0.304823331463825,1.3213,6.387,12.4223,48.1935660232596,14.7001735275696,81.1655303652111,5.9,3.6,103200,18,12,190,220
"CT","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,11,178,210
"CT","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,22,208,260
"CT","2022","Connecticut",NA,NA,NA,1.25285,6.6041,12.8116,48.9838274449459,18.1726901816086,78.3598003973851,5.2,4.1,94340,25,19,177,221
