State_Abbrev,year,State_Name,pop_millions,percapita_health_spending_thousands,medicaid_enroll_percapita,prev2years_drugusecalc,prev2years_aud,prev2years_marijuana,Gender_Male,Ethnicity_HispanicorLatino,Race_White,Insurance_Uninsured,Unemployment,Income,Forprofit,Government,Nonprofit,count_tx_total
AK,2015,Alaska,0.73843,11.46,0.171986512,1.2113,7.2493,12.1601,52.61814189,5.613959053,70.90352527,14.5,6.3,94360,13,21,54,88
AK,2016,Alaska,0.742575,11.761,0.224893108,1.75395,7.9877,14.7986,52.61814189,5.613959053,70.90352527,14.5,6.6,94290,12,26,56,94
AK,2017,Alaska,0.740983,12.303,0.264513491,1.54055,7.2969,16.6644,52.61814189,5.613959053,70.90352527,13.9,6.6,95440,12,24,53,89
AK,2018,Alaska,0.736624,12.695,0.28372684,1.4914,7.0591,16.5942,52.61814189,5.613959053,70.90352527,12,6.1,82450,10,28,53,91
AK,2019,Alaska,0.733603,13.226,0.295800317,1.47805,7.4148,17.5117,52.45850666,6.405729977,68.76352454,11.5,5.6,92670,16,28,52,96
AK,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,31,59,105
AK,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,25,75,115
AK,2022,Alaska,0.734442,NA,NA,1.41065,7.652,18.2042,52.61122463,7.701241714,64.08286452,10.7,4.3,93310,9,16,72,97
AK,2023,Alaska,0.73651,NA,NA,1.030518815,12.54897936,23.38584185,52.54183904,7.458215504,64.15232491,NA,4.2,98190,11,13,60,84
AL,2015,Alabama,4.854803,7.657,0.212984955,0.76845,6.0645,5.6292,47.75939359,3.207334829,71.35315644,10.2,6.1,55920,37,14,88,139
AL,2016,Alabama,4.866824,7.968,0.215335504,0.7985,4.8974,5.3685,47.75939359,3.207334829,71.35315644,9.2,5.8,58800,42,13,81,136
AL,2017,Alabama,4.877989,8.154,0.2121776,0.82205,4.4158,5.2544,47.75939359,3.207334829,71.35315644,9.5,4.5,62250,40,12,77,129
AL,2018,Alabama,4.891628,8.343,0.210563845,1.041,4.81,6.4844,47.75939359,3.207334829,71.35315644,10.2,3.9,59900,38,14,80,132
AL,2019,Alabama,4.907965,8.741,0.213122954,1.0911,4.9973,8.5262,47.58006702,3.499074946,70.42912749,9.7,3.2,66430,52,15,86,153
AL,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,14,91,155
AL,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,20,83,156
AL,2022,Alabama,5.076181,NA,NA,1.1131,5.7144,8.9607,48.62467621,4.931777728,68.86056706,8.6,2.5,62290,55,11,93,159
