"State_Abbrev","profit_type","year","count_tx","State_Name","pop_thousands","percapita_health_spending","medicaid_enrollment","medicaid_enroll_percapita","cocaine_yr","marijuana_month","aud_yr","heroin_yr","binge_drinking","illicit_druguse","needing_tx","sud","start_year","percapita_health_spending_thousands","pop_millions","prev2years_bingedrinking","prev2years_druguse","prev2years_sud","prev2years_needingtx","prev2years_aud","prev2years_marijuana","druguse_calc","prev2years_drugusecalc","prev2years_cocaine","prev2years_heroin","tx_percapita","Gender_Female","Gender_Male","Ethnicity_HispanicorLatino","Ethnicity_NotHispanicorLatino","Race_AmericanIndianorAlaskaNative","Race_Asian","Race_BlackorAfricanAmerican","Race_Morethanonerace","Race_NativeHawaiianorOtherPacificIslander","Race_White","Insurance_Employer","Insurance_Non.Group","Insurance_Medicaid","Insurance_Medicare","Insurance_Military","Insurance_Uninsured","Insurance_Total","Population","Unemployment","Income"
"AK","Government","2015",21,"Alaska",738,11460,127,0.172086720867209,2.1469,14.7986,7.9877,1.361,NA,NA,NA,NA,"2014",11.46,0.738,NA,NA,NA,NA,7.2493,12.1601,1.75395,1.2113,1.6532,0.7694,2.84552845528455e-05,0.473818581113687,0.526181418886313,0.0561395905300747,0.943860409469925,0.135070809561704,0.0601421472132336,0.0368060398908129,0.0484313000661023,0.0105144505407458,0.709035252727402,0.476,0.05,0.198,0.075,0.056,0.145,1,738.43,6.3,90920
"AK","Government","2016",26,"Alaska",743,11761,167,0.224764468371467,2.2623,16.6644,7.2969,0.8188,27.1402,3.8598,9.115,9.7238,"2015",11.761,0.743,NA,NA,NA,NA,7.9877,14.7986,1.54055,1.75395,2.1469,1.361,3.49932705248991e-05,0.473818581113687,0.526181418886313,0.0561395905300747,0.943860409469925,0.135070809561704,0.0601421472132336,0.0368060398908129,0.0484313000661023,0.0105144505407458,0.709035252727402,0.47,0.045,0.193,0.08,0.067,0.145,1,742.575,6.6,90860
"AK","Government","2017",24,"Alaska",741,12303,196,0.264507422402159,2.5,16.5942,7.0591,0.4828,26.3333,3.6649,8.8083,9.2576,"2016",12.303,0.741,27.1402,3.8598,9.7238,9.115,7.2969,16.6644,1.4914,1.54055,2.2623,0.8188,3.23886639676113e-05,0.473818581113687,0.526181418886313,0.0561395905300747,0.943860409469925,0.135070809561704,0.0601421472132336,0.0368060398908129,0.0484313000661023,0.0105144505407458,0.709035252727402,0.452,0.032,0.22,0.089,0.068,0.139,1,740.983,6.5,91960
"AK","Government","2018",28,"Alaska",737,12695,209,0.283582089552239,2.3839,17.5117,7.4148,0.5722,25.2012,3.534,8.8029,9.756,"2017",12.695,0.737,26.3333,3.6649,9.2576,8.8083,7.0591,16.5942,1.47805,1.4914,2.5,0.4828,3.79918588873813e-05,0.473818581113687,0.526181418886313,0.0561395905300747,0.943860409469925,0.135070809561704,0.0601421472132336,0.0368060398908129,0.0484313000661023,0.0105144505407458,0.709035252727402,0.481,0.037,0.213,0.094,0.054,0.12,1,736.624,6,79450
"AK","Government","2019",28,"Alaska",734,13226,217,0.295640326975477,2.2258,18.2042,7.652,0.5955,27.0467,3.52,9.3623,10.2311,"2018",13.226,0.734,25.2012,3.534,9.756,8.8029,7.4148,17.5117,1.41065,1.47805,2.3839,0.5722,3.81471389645777e-05,0.47541493344614,0.52458506655386,0.0640572997734837,0.935942700226516,0.139617579691988,0.0679115121998839,0.0375460309023955,0.0541849479627089,0.0131046838081499,0.687635245434873,0.484,0.035,0.213,0.1,0.053,0.115,1,733.603,5.6,89290
"AL","Government","2015",14,"Alabama",4855,7657,1034,0.2129763130793,1.3091,5.3685,4.8974,0.2879,NA,NA,NA,NA,"2014",7.657,4.855,NA,NA,NA,NA,6.0645,5.6292,0.7985,0.76845,1.3092,0.2277,2.88362512873326e-06,0.522406064094564,0.477593935905436,0.0320733482850412,0.967926651714959,0.00671859456095347,0.0129236608359305,0.255579346435157,0.0103412396803925,0.000905594099288585,0.713531564388278,0.466,0.061,0.201,0.15,0.021,0.102,1,4854.803,6.1,53880
"AL","Government","2016",13,"Alabama",4867,7968,1048,0.215327717279638,1.2979,5.2544,4.4158,0.3462,22.9338,3.4731,6.1087,6.6026,"2015",7.968,4.867,NA,NA,NA,NA,4.8974,5.3685,0.82205,0.7985,1.3091,0.2879,2.67104992808712e-06,0.522406064094564,0.477593935905436,0.0320733482850412,0.967926651714959,0.00671859456095347,0.0129236608359305,0.255579346435157,0.0103412396803925,0.000905594099288585,0.713531564388278,0.469,0.067,0.201,0.151,0.02,0.092,1,4866.824,5.9,56660
"AL","Government","2017",12,"Alabama",4878,8154,1035,0.212177121771218,1.7527,6.4844,4.81,0.3293,23.1306,3.5062,6.3644,6.8599,"2016",8.154,4.878,22.9338,3.4731,6.6026,6.1087,4.4158,5.2544,1.041,0.82205,1.2979,0.3462,2.460024600246e-06,0.522406064094564,0.477593935905436,0.0320733482850412,0.967926651714959,0.00671859456095347,0.0129236608359305,0.255579346435157,0.0103412396803925,0.000905594099288585,0.713531564388278,0.46,0.062,0.206,0.157,0.02,0.095,1,4877.989,4.5,59980
"AL","Government","2018",14,"Alabama",4892,8343,1030,0.210547833197056,1.8254,8.5262,4.9973,0.3568,24.7695,3.5671,6.7821,7.4609,"2017",8.343,4.892,23.1306,3.5062,6.8599,6.3644,4.81,6.4844,1.0911,1.041,1.7527,0.3293,2.86181520850368e-06,0.522406064094564,0.477593935905436,0.0320733482850412,0.967926651714959,0.00671859456095347,0.0129236608359305,0.255579346435157,0.0103412396803925,0.000905594099288585,0.713531564388278,0.47,0.054,0.195,0.159,0.02,0.102,1,4891.628,3.9,57720
"AL","Government","2019",15,"Alabama",4908,8741,1046,0.213121434392828,1.9298,8.9607,5.7144,0.2964,25.7251,3.4432,7.1489,7.889,"2018",8.741,4.908,24.7695,3.5671,7.4609,6.7821,4.9973,8.5262,1.1131,1.0911,1.8254,0.3568,3.05623471882641e-06,0.524199329813958,0.475800670186042,0.0349907494636365,0.965009250536364,0.0071702784691606,0.014987020971199,0.260550926650814,0.0120427163743134,0.000957782678115373,0.704291274856398,0.472,0.055,0.195,0.16,0.021,0.097,1,4907.965,3.2,64010
"AR","Government","2015",5,"Arkansas",2980,7620,974,0.326845637583893,1.1311,7.2504,5.1063,0.1753,NA,NA,NA,NA,"2014",7.62,2.98,NA,NA,NA,NA,5.5113,6.754,0.6532,0.59335,0.9845,0.2022,1.67785234899329e-06,0.515291923804904,0.484708076195096,0.0547138641652685,0.945286135834731,0.00899156502182593,0.0146582676689672,0.146430314926877,0.0128605765493481,0.00214950020455566,0.814909775628426,0.414,0.07,0.256,0.149,0.016,0.094,1,2979.732,5,51810
"AR","Government","2016",6,"Arkansas",2992,8079,932,0.311497326203209,1.3119,7.1321,5.2777,0.2163,21.9081,3.3066,6.2597,6.941,"2015",8.079,2.992,NA,NA,NA,NA,5.1063,7.2504,0.7641,0.6532,1.1311,0.1753,2.00534759358289e-06,0.515291923804904,0.484708076195096,0.0547138641652685,0.945286135834731,0.00899156502182593,0.0146582676689672,0.146430314926877,0.0128605765493481,0.00214950020455566,0.814909775628426,0.42,0.068,0.267,0.15,0.016,0.08,1,2991.815,4,55080
"AR","Government","2017",6,"Arkansas",3004,8409,956,0.318242343541944,1.5834,8.4446,5.7279,0.2664,21.0637,3.7105,6.8451,7.719,"2016",8.409,3.004,21.9081,3.3066,6.941,6.2597,5.2777,7.1321,0.9249,0.7641,1.3119,0.2163,1.99733688415446e-06,0.515291923804904,0.484708076195096,0.0547138641652685,0.945286135834731,0.00899156502182593,0.0146582676689672,0.146430314926877,0.0128605765493481,0.00214950020455566,0.814909775628426,0.415,0.063,0.27,0.155,0.017,0.08,1,3003.855,3.7,58660
"AR","Government","2018",6,"Arkansas",3012,8545,910,0.302124833997344,1.4938,8.9102,5.6511,0.2581,21.5368,3.7241,7.1127,8.0178,"2017",8.545,3.012,21.0637,3.7105,7.719,6.8451,5.7279,8.4446,0.87595,0.9249,1.5834,0.2664,1.99203187250996e-06,0.515291923804904,0.484708076195096,0.0547138641652685,0.945286135834731,0.00899156502182593,0.0146582676689672,0.146430314926877,0.0128605765493481,0.00214950020455566,0.814909775628426,0.419,0.056,0.273,0.156,0.014,0.083,1,3012.161,3.7,57540
"AR","Government","2019",7,"Arkansas",3021,8853,837,0.277060575968222,1.1926,8.7341,5.2442,0.2349,22.8703,2.9804,6.5367,7.1638,"2018",8.853,3.021,21.5368,3.7241,8.0178,7.1127,5.6511,8.9102,0.71375,0.87595,1.4938,0.2581,2.31711353856339e-06,0.515556967635024,0.484443032364976,0.0638173221340295,0.93618267786597,0.00993159365909259,0.0166523830134312,0.149476563025398,0.0153349531053582,0.00326857119208438,0.805335936004635,0.42,0.054,0.262,0.159,0.014,0.091,1,3020.985,3.5,62120
"AZ","Government","2015",35,"Arizona",6833,6885,1590,0.232694277769647,2.4404,8.5918,7.0632,0.5893,NA,NA,NA,NA,"2014",6.885,6.833,NA,NA,NA,NA,8.0634,8.8497,1.51485,1.35935,2.3836,0.3351,5.12220108297966e-06,0.507133102467947,0.492866897532053,0.261107356391961,0.738892643608039,0.0475664435765394,0.0336244071364917,0.0436762222607662,0.0179763990980699,0.00248828228576669,0.854668245642366,0.433,0.07,0.22,0.149,0.017,0.111,1,6832.81,6.1,63250
"AZ","Government","2016",35,"Arizona",6945,7189,1736,0.24996400287977,2.2014,7.4881,5.6647,0.4973,24.4929,4.045,7.5198,7.7819,"2015",7.189,6.945,NA,NA,NA,NA,7.0632,8.5918,1.34935,1.51485,2.4404,0.5893,5.03959683225342e-06,0.507133102467947,0.492866897532053,0.261107356391961,0.738892643608039,0.0475664435765394,0.0336244071364917,0.0436762222607662,0.0179763990980699,0.00248828228576669,0.854668245642366,0.433,0.066,0.235,0.151,0.016,0.1,1,6944.767,5.5,68510
"AZ","Government","2017",32,"Arizona",7048,7539,1775,0.251844494892168,2.2656,8.5933,5.8779,0.3804,25.0442,3.577,7.4089,7.7291,"2016",7.539,7.048,24.4929,4.045,7.7819,7.5198,5.6647,7.4881,1.323,1.34935,2.2014,0.4973,4.54029511918275e-06,0.507133102467947,0.492866897532053,0.261107356391961,0.738892643608039,0.0475664435765394,0.0336244071364917,0.0436762222607662,0.0179763990980699,0.00248828228576669,0.854668245642366,0.449,0.058,0.223,0.153,0.016,0.1,1,7048.088,5,70390
"AZ","Government","2018",30,"Arizona",7164,7816,1700,0.237297599106644,2.1175,11.4082,5.7039,0.273,24.9064,3.1906,6.9557,7.3594,"2017",7.816,7.164,25.0442,3.577,7.7291,7.4089,5.8779,8.5933,1.19525,1.323,2.2656,0.3804,4.18760469011725e-06,0.507133102467947,0.492866897532053,0.261107356391961,0.738892643608039,0.0475664435765394,0.0336244071364917,0.0436762222607662,0.0179763990980699,0.00248828228576669,0.854668245642366,0.445,0.054,0.224,0.156,0.015,0.106,1,7164.228,4.8,71990
"AZ","Government","2019",30,"Arizona",7292,8145,1705,0.233817882611081,1.9538,11.514,5.1012,0.3952,23.1032,3.5299,6.8102,7.1089,"2018",8.145,7.292,24.9064,3.1906,7.3594,6.9557,5.7039,11.4082,1.1745,1.19525,2.1175,0.273,4.11409764125069e-06,0.506977909834064,0.493022090165936,0.279524703563608,0.720475296436392,0.0472795602780545,0.0382726655523533,0.0493101380573425,0.0214446924629512,0.00270224540522708,0.840990698244071,0.451,0.052,0.21,0.161,0.015,0.111,1,7291.843,4.8,80500
"CA","Government","2015",175,"California",38904,7998,11493,0.29541949413942,2.2846,9.8151,6.9505,0.2102,NA,NA,NA,NA,"2014",7.998,38.904,NA,NA,NA,NA,7.0675,9.2534,1.2474,1.2366,2.2689,0.2043,4.49825210775242e-06,0.507865565688765,0.492134434311235,0.340441374377156,0.659558625622844,0.0157459792982178,0.148980117981165,0.0652873040001433,0.0275779160963937,0.00482498993039453,0.737583692693685,0.458,0.077,0.265,0.104,0.011,0.085,1,38904.3,6.3,77030
