"State_Abbrev","year","State_Name","pop_millions","percapita_health_spending_thousands","medicaid_enroll_percapita","prev2years_drugusecalc","prev2years_aud","prev2years_marijuana","Gender_Male","Ethnicity_HispanicorLatino","Race_White","Insurance_Uninsured","Unemployment","Income","Forprofit","Government","Nonprofit","count_tx_total","profit_type","OTP_status","count_tx"
"AK","2015","Alaska",0.73843,11.46,0.171986511923947,1.2113,7.2493,12.1601,52.6181418886313,5.61395905300747,70.9035252727402,14.5,6.3,94360,13,21,54,88,"Forprofit","NotOTP",11
"AK","2015","Alaska",0.73843,11.46,0.171986511923947,1.2113,7.2493,12.1601,52.6181418886313,5.61395905300747,70.9035252727402,14.5,6.3,94360,13,21,54,88,"Government","NotOTP",21
"AK","2015","Alaska",0.73843,11.46,0.171986511923947,1.2113,7.2493,12.1601,52.6181418886313,5.61395905300747,70.9035252727402,14.5,6.3,94360,13,21,54,88,"Nonprofit","NotOTP",52
"AK","2015","Alaska",0.73843,11.46,0.171986511923947,1.2113,7.2493,12.1601,52.6181418886313,5.61395905300747,70.9035252727402,14.5,6.3,94360,13,21,54,88,"Forprofit","OTP",2
"AK","2015","Alaska",0.73843,11.46,0.171986511923947,1.2113,7.2493,12.1601,52.6181418886313,5.61395905300747,70.9035252727402,14.5,6.3,94360,13,21,54,88,"Nonprofit","OTP",2
"AK","2015","Alaska",0.73843,11.46,0.171986511923947,1.2113,7.2493,12.1601,52.6181418886313,5.61395905300747,70.9035252727402,14.5,6.3,94360,13,21,54,88,"Government","OTP",NA
"AK","2016","Alaska",0.742575,11.761,0.224893108440225,1.75395,7.9877,14.7986,52.6181418886313,5.61395905300747,70.9035252727402,14.5,6.6,94290,12,26,56,94,"Forprofit","NotOTP",11
"AK","2016","Alaska",0.742575,11.761,0.224893108440225,1.75395,7.9877,14.7986,52.6181418886313,5.61395905300747,70.9035252727402,14.5,6.6,94290,12,26,56,94,"Government","NotOTP",26
"AK","2016","Alaska",0.742575,11.761,0.224893108440225,1.75395,7.9877,14.7986,52.6181418886313,5.61395905300747,70.9035252727402,14.5,6.6,94290,12,26,56,94,"Nonprofit","NotOTP",54
"AK","2016","Alaska",0.742575,11.761,0.224893108440225,1.75395,7.9877,14.7986,52.6181418886313,5.61395905300747,70.9035252727402,14.5,6.6,94290,12,26,56,94,"Forprofit","OTP",1
"AK","2016","Alaska",0.742575,11.761,0.224893108440225,1.75395,7.9877,14.7986,52.6181418886313,5.61395905300747,70.9035252727402,14.5,6.6,94290,12,26,56,94,"Nonprofit","OTP",2
"AK","2016","Alaska",0.742575,11.761,0.224893108440225,1.75395,7.9877,14.7986,52.6181418886313,5.61395905300747,70.9035252727402,14.5,6.6,94290,12,26,56,94,"Government","OTP",NA
"AK","2017","Alaska",0.740983,12.303,0.264513490862813,1.54055,7.2969,16.6644,52.6181418886313,5.61395905300747,70.9035252727402,13.9,6.6,95440,12,24,53,89,"Forprofit","NotOTP",11
"AK","2017","Alaska",0.740983,12.303,0.264513490862813,1.54055,7.2969,16.6644,52.6181418886313,5.61395905300747,70.9035252727402,13.9,6.6,95440,12,24,53,89,"Government","NotOTP",24
"AK","2017","Alaska",0.740983,12.303,0.264513490862813,1.54055,7.2969,16.6644,52.6181418886313,5.61395905300747,70.9035252727402,13.9,6.6,95440,12,24,53,89,"Nonprofit","NotOTP",51
"AK","2017","Alaska",0.740983,12.303,0.264513490862813,1.54055,7.2969,16.6644,52.6181418886313,5.61395905300747,70.9035252727402,13.9,6.6,95440,12,24,53,89,"Forprofit","OTP",1
