CASEID,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,HOSPITAL,LOCS,ASSESSMENT,TESTING,TRANSITION,ANCILLARY,SRVC75,SRVC71,SRVC85,SRVC87,SRVC86,OTP,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG4,LANG5,LANG6,LANG7,LANG8,LANG9,LANG10,LANG11,LANG19,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC76,SRVC83,SRVC84,SRVC33,SRVC63,SRVC62,SRVC61,SRVC31,SRVC32,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,EARMARK,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,T_CLI1,T_CLI2,T_CLIHI,H_AGE1,HIMETNUM,HIBUPNUM,HIMATNUM,HOSPBED,T_CLI3,T_CLI9,T_CLI10,T_CLIRC,R_AGE1,RCMETNUM,RCBUPNUM,RCMATNUM,RESBED,T_CLI7,T_CLIML,T_CLI8,T_CLI6,T_CLI5,T_CLIOP,O_AGE1,OPMETNUM,OPBUPNUM,OPMATNUM,B_PCT,A_PCT,D_PCT,LOC5,LICEN,ACCRED
1,AK,0,1,2,,1,1,6,7,2,13,0,0,0,0,0,,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,M
2,AK,0,1,2,,0,,0,2,1,12,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,1,0,0,,,1,0,1,1,0,,,,,,1,1,1,0,1,0,1,D,0,1,,,,,,,,,1,2,4,4,1,1,1,,4,,,,,,,,,,,2,5,1,0,1,1
3,AK,0,1,2,,0,,4,2,2,6,0,0,1,0,0,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,1,0,,,0,,,,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,5,0,1,1
4,AK,0,1,2,,0,,4,2,2,8,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,1,0,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,0,0,0,1,1,,,,,,,,,1,1,3,3,1,1,1,,3,,,,,,,,,,,2,2,4,0,1,1
5,AK,1,1,5,,0,,5,7,2,10,0,1,0,0,0,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,1,5,3,0,1,M
6,AK,0,1,2,,1,1,1,2,2,10,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,1,0,0,,,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,,,,,,,,,1,2,1,1,1,1,1,,1,1,1,1,1,2,2,1,1,1,,5,1,1,0,1,1
7,AK,0,1,2,,0,,4,1,2,7,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,1,0,0,,,0,,,,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,4,1,1,,4,1,2,0,1,M
8,AK,0,1,6,3,0,,6,5,2,7,0,0,0,0,0,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,,0,,,0,,,,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,1,1,1,5,4,5,3,1,1,,5,1,1,0,M,M
9,AK,0,1,1,,0,,3,1,2,4,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,,,0,,,,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,2,3,3,1,1,1,,1,5,3,0,1,M
10,AK,0,1,5,,0,,6,7,2,13,0,1,1,1,D,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,1,1,1,5,1,3,4,1,1,,4,2,1,0,1,M
