CASEID,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,HOSPITAL,LOCS,ASSESSMENT,TESTING,TRANSITION,ANCILLARY,OTHER_SRVC,SRVC75,SRVC71,SRVC108,SRVC85,SRVC87,SRVC86,SRVC129,SRVC70,SRVC88,SRVC94,SRVC106,SRVC95,SRVC130,OTP,ONLYOUD,OPIOIDMAINT,OPIOIDWDRAW,OPIOIDDETOX,OPIOIDNAL,COMPSAT,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG21,LANG4,LANG5,LANG6,LANG7,LANG8,LANG24,LANG9,LANG10,LANG22,LANG25,LANG26,LANG11,LANG19,LANG23,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC30,SRVC34,SRVC33,SRVC64,SRVC63,SRVC62,SRVC113,SRVC114,SRVC115,SRVC61,SRVC31,SRVC32,SRVC116,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,EARMARK,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,REVCHK17,LOC5,LICEN,ACCRED,SRVC89,SRVC90,SRVC1,SRVC2,SRVC91,SRVC93,SRVC107,SRVC10,SRVC11,SRVC73,SRVC74,SRVC14,SRVC15,SRVC16,SRVC37,SRVC27,SRVC49,SRVC96,SRVC97,SRVC50,SRVC36,SRVC38,SRVC39,SRVC52,SRVC98,SRVC24,SRVC104,SRVC99,SRVC100,SRVC59,SRVC101,SRVC48,SRVC102,SRVC105,SRVC117,SRVC118,SRVC119,LICENSED,LICENMH,LICENPH,LICENHOS,JCAHO,CARF,NCQA,COA,HFAP,STFIPS
201800001,AK,0,1,5,,0,,7,1,2,15,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,1,0,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,2
201800002,AK,0,1,2,,0,,5,2,1,16,3,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,1,0,1,0,,,1,0,1,1,0,,,,,,1,1,1,0,1,0,1,1,1,1,D,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,2
201800003,AK,1,1,2,,0,,4,6,2,9,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
201800004,AK,0,1,2,,0,,5,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,,,,,,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,2
201800005,AK,0,1,2,,0,,5,7,1,13,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,2,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,0,,,,1,0,1,0,0,1,1,0,D,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
201800006,AK,0,1,2,,1,1,4,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,3,0,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
201800007,AK,0,1,2,,0,,4,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,1,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,0,1,1,1,1,D,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2
201800008,AK,0,1,2,,1,1,5,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,0,0,1,0,1,0,,,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,D,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,D,2
201800009,AK,0,1,2,,0,,7,0,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,1,1,1,D,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,2
201800010,AK,0,1,2,,0,,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
